;latitud;longitud;profundidad;magnitud;err_prof;err_h
0;-33.41;-70.88;81.9;2.5;5.4;1.55
1;-33.787;-71.339;45.8;3.7;1.3;0.5
2;-31.535;-71.318;35.7;3.8;9.8;2.6
3;-32.446;-70.923;95.2;2.7;6.2;2.25
4;-32.986;-71.348;41.8;3.6;1.3;0.85
5;-32.617;-71.645;33;3.3;3.5;2.8
6;-32.747;-71.685;15.2;3.5;9.1;3.75
7;-32.171;-71.756;33.8;0;1.8;1.65
8;-34.069;-72.024;39.6;0;1.8;1.2
9;-33.712;-70.431;102;0;1.8;3.1
10;-32.749;-71.711;22.5;3.8;5.6;1.25
11;-32.765;-71.688;11.2;3.8;9.9;4.1
12;-34.944;-71.492;52.8;3.6;4.8;1.55
13;-33.265;-68.66;7.8;4.3;5.3;2.55
14;-33.87;-70.46;13.3;0;1.1;0.8
15;-33.355;-70.1;121;0;2.1;1.95
16;-32.899;-70.274;99.7;3.3;2.9;1.45
17;-33.094;-70.402;102.6;0;4.7;3.45
18;-32.266;-71.698;11.8;3.5;1.5;0.9
19;-32.476;-70.33;123.8;2.9;2;1.4
20;-33.337;-70.478;87;2.8;1.7;0.95
21;-34.442;-72.122;28.7;3.4;4.3;1.1
22;-32.05;-71.644;27.5;3.7;3.7;4.45
23;-34.062;-70.176;12.9;0;1.1;0.85
24;-32.167;-69.873;147.3;3.7;3.6;2.05
25;-33.638;-70.363;102.2;2.8;1.1;0.8
26;-34.616;-71.139;66.5;2.9;1;1.15
27;-32.57;-71.226;47.7;3.4;1.8;1.35
28;-34.643;-70.74;102.1;3.5;0.9;0.6
29;-34.802;-71.117;86;0;2.5;1.35
30;-33.033;-70.403;101.3;2.9;1.5;1.05
31;-33.177;-70.285;8;3.2;0.8;0.9
32;-33.677;-70.838;72;2.9;1.1;0.45
33;-28.309;-68.806;280.8;4.5;14.8;4.8
34;-34.22;-71.539;45.5;3.4;1.5;1.15
35;-34.863;-71.068;102.1;2.6;2.4;1.3
36;-33.887;-70.562;117.1;2.3;3.4;3.65
37;-31.82;-70.089;144.1;3.3;8.2;2.55
38;-31.438;-69.847;120.8;3.6;7.3;2.25
39;-32.474;-71.369;36.7;3.7;1.1;1
40;-32.238;-71.631;9.6;3.7;14.2;5.85
41;-33.252;-68.87;13.3;3.4;49.9;20.3
42;-31.922;-70.677;99.2;3;4.4;1.9
43;-31.969;-71.342;72.7;4.5;13.1;3.25
44;-32.709;-71.744;31.8;3.2;2.4;1.9
45;-32.279;-71.713;38.2;3.2;2.7;3.1
46;-32.757;-71.715;14.3;3.3;12.9;5.3
47;-33.549;-70.288;100.5;2.9;1;0.7
48;-32.719;-71.796;12.6;3.2;15.9;6.4
49;-32.713;-71.68;13.9;3.5;1.5;1.3
50;-33.279;-71.563;23.7;0;2.5;0.8
51;-33.197;-70.167;109.1;3.8;1.5;0.95
52;-36.737;-72.596;16.8;4;4.2;5.35
